timestamp,frame_time_ms,memory_bytes,memory_mb,throughput_msg_sec,cache_hit_rate,avg_hop_count,messages_sent,routing_table_ms,mminvoke_ms,routing_table_percent,routing_invocations
22.162,4.499,1141379072,1088.50,500.77,0.0000,0.00,11090,0.000,0.000,0.00,0
22.165,3.011,1141379072,1088.50,500.77,0.0000,0.00,11092,0.000,0.000,0.00,0
22.168,3.383,1141379072,1088.50,500.77,0.0000,0.00,11094,0.000,0.000,0.00,0
22.172,3.775,1141379072,1088.50,500.77,0.0000,0.00,11096,0.000,0.000,0.00,0
22.177,5.027,1141379072,1088.50,500.77,0.0000,0.00,11098,0.000,0.000,0.00,0
22.182,4.717,1141379072,1088.50,500.77,0.0000,0.00,11100,0.000,0.000,0.00,0
22.186,4.315,1141379072,1088.50,500.77,0.0000,0.00,11103,0.000,0.000,0.00,0
22.192,6.006,1141379072,1088.50,500.77,0.0000,0.00,11106,0.000,0.000,0.00,0
22.197,4.541,1141379072,1088.50,500.77,0.0000,0.00,11108,0.000,0.000,0.00,0
22.201,4.352,1141379072,1088.50,500.77,0.0000,0.00,11110,0.000,0.000,0.00,0
22.205,4.306,1141379072,1088.50,500.77,0.0000,0.00,11112,0.000,0.000,0.00,0
22.210,4.227,1141379072,1088.50,500.77,0.0000,0.00,11114,0.000,0.000,0.00,0
22.214,4.459,1141379072,1088.50,500.77,0.0000,0.00,11117,0.000,0.000,0.00,0
22.220,5.690,1141379072,1088.50,500.77,0.0000,0.00,11119,0.000,0.000,0.00,0
22.225,5.697,1141379072,1088.50,500.77,0.0000,0.00,11122,0.000,0.000,0.00,0
22.231,5.177,1141379072,1088.50,500.77,0.0000,0.00,11125,0.000,0.000,0.00,0
22.236,5.590,1141379072,1088.50,500.77,0.0000,0.00,11128,0.000,0.000,0.00,0
22.243,7.179,1141379072,1088.50,500.77,0.0000,0.00,11131,0.000,0.000,0.00,0
22.249,5.314,1141379072,1088.50,500.77,0.0000,0.00,11134,0.000,0.000,0.00,0
22.255,6.377,1141379072,1088.50,500.77,0.0000,0.00,11137,0.000,0.000,0.00,0
22.265,9.607,1141379072,1088.50,500.77,0.0000,0.00,11142,0.000,0.000,0.00,0
22.274,9.346,1141379072,1088.50,500.77,0.0000,0.00,11147,0.000,0.000,0.00,0
22.283,9.370,1141379072,1088.50,500.77,0.0000,0.00,11151,0.000,0.000,0.00,0
22.294,10.173,1141379072,1088.50,500.77,0.0000,0.00,11156,0.000,0.000,0.00,0
22.306,12.449,1141379072,1088.50,500.77,0.0000,0.00,11163,0.000,0.000,0.00,0
22.320,14.073,1141379072,1088.50,500.77,0.0000,0.00,11170,0.000,0.000,0.00,0
22.333,12.406,1141379072,1088.50,500.77,0.0000,0.00,11176,0.000,0.000,0.00,0
22.347,14.166,1141379072,1088.50,500.77,0.0000,0.00,11183,0.000,0.000,0.00,0
22.357,10.026,1141379072,1088.50,500.77,0.0000,0.00,11188,0.000,0.000,0.00,0
22.364,7.497,1141379072,1088.50,500.77,0.0000,0.00,11192,0.000,0.000,0.00,0
22.370,5.424,1141379072,1088.50,500.77,0.0000,0.00,11194,0.000,0.000,0.00,0
22.376,5.992,1141379072,1088.50,500.77,0.0000,0.00,11197,0.000,0.000,0.00,0
22.380,4.023,1141379072,1088.50,500.77,0.0000,0.00,11199,0.000,0.000,0.00,0
22.384,4.314,1141379072,1088.50,500.77,0.0000,0.00,11201,0.000,0.000,0.00,0
22.389,4.544,1141379072,1088.50,500.77,0.0000,0.00,11204,0.000,0.000,0.00,0
22.393,4.201,1141379072,1088.50,500.77,0.0000,0.00,11206,0.000,0.000,0.00,0
22.398,4.961,1141379072,1088.50,500.77,0.0000,0.00,11208,0.000,0.000,0.00,0
22.403,4.821,1141379072,1088.50,500.77,0.0000,0.00,11211,0.000,0.000,0.00,0
22.406,3.250,1141379072,1088.50,500.77,0.0000,0.00,11212,0.000,0.000,0.00,0
22.409,2.962,1141379072,1088.50,500.77,0.0000,0.00,11214,0.000,0.000,0.00,0
22.413,4.221,1141379072,1088.50,500.77,0.0000,0.00,11216,0.000,0.000,0.00,0
22.418,4.770,1141379072,1088.50,500.77,0.0000,0.00,11218,0.000,0.000,0.00,0
22.422,4.662,1141379072,1088.50,500.77,0.0000,0.00,11221,0.000,0.000,0.00,0
22.426,3.429,1141379072,1088.50,500.77,0.0000,0.00,11222,0.000,0.000,0.00,0
22.430,3.985,1141379072,1088.50,500.77,0.0000,0.00,11224,0.000,0.000,0.00,0
22.436,5.845,1141379072,1088.50,500.77,0.0000,0.00,11227,0.000,0.000,0.00,0
22.440,4.613,1145053184,1092.01,500.77,0.0000,0.00,11230,0.000,0.000,0.00,0
22.445,5.185,1145053184,1092.01,500.77,0.0000,0.00,11232,0.000,0.000,0.00,0
22.450,4.350,1145053184,1092.01,500.77,0.0000,0.00,11234,0.000,0.000,0.00,0
22.453,3.444,1145053184,1092.01,500.77,0.0000,0.00,11236,0.000,0.000,0.00,0
22.457,3.462,1145053184,1092.01,500.77,0.0000,0.00,11238,0.000,0.000,0.00,0
22.460,3.698,1145053184,1092.01,500.77,0.0000,0.00,11240,0.000,0.000,0.00,0
22.464,3.445,1145053184,1092.01,500.77,0.0000,0.00,11241,0.000,0.000,0.00,0
22.468,3.679,1145053184,1092.01,500.77,0.0000,0.00,11243,0.000,0.000,0.00,0
22.472,4.192,1145053184,1092.01,500.77,0.0000,0.00,11245,0.000,0.000,0.00,0
22.476,3.992,1145053184,1092.01,500.77,0.0000,0.00,11247,0.000,0.000,0.00,0
22.480,4.068,1145053184,1092.01,500.77,0.0000,0.00,11249,0.000,0.000,0.00,0
22.484,4.312,1145053184,1092.01,500.77,0.0000,0.00,11252,0.000,0.000,0.00,0
22.488,4.108,1145053184,1092.01,500.77,0.0000,0.00,11254,0.000,0.000,0.00,0
22.493,4.651,1145053184,1092.01,500.77,0.0000,0.00,11256,0.000,0.000,0.00,0
22.497,3.717,1145053184,1092.01,500.77,0.0000,0.00,11258,0.000,0.000,0.00,0
22.501,4.167,1145053184,1092.01,500.77,0.0000,0.00,11260,0.000,0.000,0.00,0
22.504,3.778,1145053184,1092.01,500.77,0.0000,0.00,11262,0.000,0.000,0.00,0
22.509,4.374,1145053184,1092.01,500.77,0.0000,0.00,11264,0.000,0.000,0.00,0
22.513,4.094,1145053184,1092.01,500.77,0.0000,0.00,11266,0.000,0.000,0.00,0
22.516,3.228,1145053184,1092.01,500.77,0.0000,0.00,11268,0.000,0.000,0.00,0
22.520,4.303,1145053184,1092.01,500.77,0.0000,0.00,11270,0.000,0.000,0.00,0
22.525,4.709,1145053184,1092.01,500.77,0.0000,0.00,11272,0.000,0.000,0.00,0
22.529,3.685,1145053184,1092.01,500.77,0.0000,0.00,11274,0.000,0.000,0.00,0
22.533,3.641,1145053184,1092.01,500.77,0.0000,0.00,11276,0.000,0.000,0.00,0
22.536,3.470,1145053184,1092.01,500.77,0.0000,0.00,11277,0.000,0.000,0.00,0
22.540,4.041,1145053184,1092.01,500.77,0.0000,0.00,11280,0.000,0.000,0.00,0
22.544,4.398,1145053184,1092.01,500.77,0.0000,0.00,11282,0.000,0.000,0.00,0
22.548,3.791,1145053184,1092.01,500.77,0.0000,0.00,11284,0.000,0.000,0.00,0
22.552,3.419,1145053184,1092.01,500.77,0.0000,0.00,11285,0.000,0.000,0.00,0
22.556,4.092,1145053184,1092.01,500.77,0.0000,0.00,11287,0.000,0.000,0.00,0
22.560,4.545,1145053184,1092.01,500.77,0.0000,0.00,11290,0.000,0.000,0.00,0
22.565,4.976,1145053184,1092.01,500.77,0.0000,0.00,11292,0.000,0.000,0.00,0
22.570,4.644,1145053184,1092.01,500.77,0.0000,0.00,11294,0.000,0.000,0.00,0
22.576,6.492,1145053184,1092.01,500.77,0.0000,0.00,11298,0.000,0.000,0.00,0
22.582,6.047,1145053184,1092.01,500.77,0.0000,0.00,11301,0.000,0.000,0.00,0
22.588,5.860,1145053184,1092.01,500.77,0.0000,0.00,11304,0.000,0.000,0.00,0
22.593,5.178,1145053184,1092.01,500.77,0.0000,0.00,11306,0.000,0.000,0.00,0
22.598,4.311,1145053184,1092.01,500.77,0.0000,0.00,11308,0.000,0.000,0.00,0
22.601,3.668,1145053184,1092.01,500.77,0.0000,0.00,11310,0.000,0.000,0.00,0
22.605,3.617,1145053184,1092.01,500.77,0.0000,0.00,11312,0.000,0.000,0.00,0
22.609,4.418,1145053184,1092.01,500.77,0.0000,0.00,11314,0.000,0.000,0.00,0
22.615,5.340,1145053184,1092.01,500.77,0.0000,0.00,11317,0.000,0.000,0.00,0
22.618,3.150,1145053184,1092.01,500.77,0.0000,0.00,11318,0.000,0.000,0.00,0
22.622,3.936,1145053184,1092.01,500.77,0.0000,0.00,11320,0.000,0.000,0.00,0
22.626,4.305,1145053184,1092.01,500.77,0.0000,0.00,11323,0.000,0.000,0.00,0
22.631,4.466,1145053184,1092.01,500.77,0.0000,0.00,11325,0.000,0.000,0.00,0
22.635,3.890,1145053184,1092.01,500.77,0.0000,0.00,11327,0.000,0.000,0.00,0
